,Date,JPYKRW
664,2017-03-22,1006.33
665,2017-03-21,994.54
666,2017-03-20,990.74
667,2017-03-17,999.51
668,2017-03-16,997.4
669,2017-03-15,999.87
670,2017-03-14,1001.61
671,2017-03-13,1000.48
672,2017-03-10,1001.6
673,2017-03-09,1012.04
674,2017-03-08,1009.33
675,2017-03-07,1008.91
676,2017-03-06,1014.85
677,2017-03-03,1011.23
678,2017-03-02,1000.92
679,2017-02-28,1007.18
680,2017-02-27,1010.47
681,2017-02-24,1007.89
682,2017-02-23,1006.87
683,2017-02-22,1012.03
684,2017-02-21,1008.93
685,2017-02-20,1014.27
686,2017-02-17,1019.77
687,2017-02-16,1004.76
688,2017-02-15,996.72
689,2017-02-14,1003.31
690,2017-02-13,1011.7
691,2017-02-10,1013.08
692,2017-02-09,1019.29
693,2017-02-08,1022.16
694,2017-02-07,1020.49
695,2017-02-06,1012.55
696,2017-02-03,1015.3
697,2017-02-02,1017.44
698,2017-02-01,1021.88
699,2017-01-31,1025.96
700,2017-01-26,1019.88
701,2017-01-25,1029.17
702,2017-01-24,1028.93
703,2017-01-23,1030.82
704,2017-01-20,1020.52
705,2017-01-19,1027.34
706,2017-01-18,1031.93
707,2017-01-17,1034.12
708,2017-01-16,1037.28
709,2017-01-13,1027.31
710,2017-01-12,1034.24
711,2017-01-11,1031.89
712,2017-01-10,1033.27
713,2017-01-09,1032.09
714,2017-01-06,1026.29
715,2017-01-05,1021.24
716,2017-01-04,1023.57
717,2017-01-03,1021.45
718,2017-01-02,1030.97
719,2016-12-30,1029.87
720,2016-12-29,1037.38
721,2016-12-28,1030.38
722,2016-12-27,1028.11
723,2016-12-26,1026.53
724,2016-12-23,1027.19
725,2016-12-22,1023.49
726,2016-12-21,1019.49
727,2016-12-20,1012.32
728,2016-12-19,1014.29
729,2016-12-16,1004.27
730,2016-12-15,1002.2
731,2016-12-14,1016.58
732,2016-12-13,1012.1
733,2016-12-12,1009.58
734,2016-12-09,1018.72
735,2016-12-08,1019.66
736,2016-12-07,1020.4
737,2016-12-06,1028.09
738,2016-12-05,1027.99
739,2016-12-02,1028.99
740,2016-12-01,1023.48
741,2016-11-30,1034.71
742,2016-11-29,1039.28
743,2016-11-28,1042.71
744,2016-11-25,1041.8
745,2016-11-24,1043.7
746,2016-11-23,1057.53
747,2016-11-22,1060.1
748,2016-11-21,1065.86
749,2016-11-18,1069.22
750,2016-11-17,1076.23
751,2016-11-16,1071.31
752,2016-11-15,1079.93
753,2016-11-14,1089.31
754,2016-11-11,1096.39
755,2016-11-10,1085.66
756,2016-11-09,1114.92
757,2016-11-08,1085.49
758,2016-11-07,1094.79
759,2016-11-04,1112.19
760,2016-11-03,1107.72
761,2016-11-02,1107.29
762,2016-11-01,1088.45
763,2016-10-31,1090.22
764,2016-10-28,1088.41
765,2016-10-27,1092.55
766,2016-10-26,1088.37
767,2016-10-25,1084.33
768,2016-10-24,1090.1
769,2016-10-21,1099.97
770,2016-10-20,1086.87
771,2016-10-19,1085.18
772,2016-10-18,1084.12
773,2016-10-17,1095.06
774,2016-10-14,1086.98
775,2016-10-13,1095.57
776,2016-10-12,1085.08
777,2016-10-11,1083.01
778,2016-10-10,1074.69
779,2016-10-07,1080.13
780,2016-10-06,1075.71
781,2016-10-05,1082.45
782,2016-10-04,1082.98
783,2016-09-30,1091.61
784,2016-09-29,1082.16
785,2016-09-28,1092.06
786,2016-09-27,1096.0
787,2016-09-26,1103.59
788,2016-09-23,1094.52
789,2016-09-22,1094.11
790,2016-09-21,1108.3
791,2016-09-20,1099.0
792,2016-09-19,1101.77
793,2016-09-13,1100.14
794,2016-09-12,1096.66
